_id;recvTimeTs;recvTime;entityId;attrValue;attrMd
92256;1595947174;2020-07-28T14:39:34;Aparcamiento:105;168;
92257;1595947354;2020-07-28T14:42:34;Aparcamiento:105;169;
92258;1595947473;2020-07-28T14:44:33;Aparcamiento:105;170;
92259;1595947654;2020-07-28T14:47:34;Aparcamiento:105;171;
92260;1595947714;2020-07-28T14:48:34;Aparcamiento:105;170;
92261;1595947893;2020-07-28T14:51:33;Aparcamiento:105;168;
92262;1595948014;2020-07-28T14:53:34;Aparcamiento:105;169;
92263;1595948194;2020-07-28T14:56:34;Aparcamiento:105;170;
92264;1595948434;2020-07-28T15:00:34;Aparcamiento:105;169;
92265;1595948734;2020-07-28T15:05:34;Aparcamiento:105;167;
92266;1595948914;2020-07-28T15:08:34;Aparcamiento:105;168;
92267;1595949334;2020-07-28T15:15:34;Aparcamiento:105;167;
92268;1595949694;2020-07-28T15:21:34;Aparcamiento:105;166;
92269;1595949874;2020-07-28T15:24:34;Aparcamiento:105;165;
92270;1595950233;2020-07-28T15:30:33;Aparcamiento:105;164;
92271;1595950354;2020-07-28T15:32:34;Aparcamiento:105;166;
92272;1595950594;2020-07-28T15:36:34;Aparcamiento:105;164;
92273;1595950774;2020-07-28T15:39:34;Aparcamiento:105;165;
92274;1595950893;2020-07-28T15:41:33;Aparcamiento:105;166;
92275;1595950953;2020-07-28T15:42:33;Aparcamiento:105;167;
92276;1595951313;2020-07-28T15:48:33;Aparcamiento:105;169;
92277;1595951493;2020-07-28T15:51:33;Aparcamiento:105;168;
92278;1595951794;2020-07-28T15:56:34;Aparcamiento:105;169;
92279;1595952154;2020-07-28T16:02:34;Aparcamiento:105;168;
92280;1595952394;2020-07-28T16:06:34;Aparcamiento:105;167;
92281;1595952574;2020-07-28T16:09:34;Aparcamiento:105;169;
92282;1595952694;2020-07-28T16:11:34;Aparcamiento:105;171;
92283;1595953294;2020-07-28T16:21:34;Aparcamiento:105;172;
92284;1595953774;2020-07-28T16:29:34;Aparcamiento:105;171;
92285;1595953834;2020-07-28T16:30:34;Aparcamiento:105;169;
92286;1595954014;2020-07-28T16:33:34;Aparcamiento:105;170;
92287;1595954194;2020-07-28T16:36:34;Aparcamiento:105;171;
92288;1595954374;2020-07-28T16:39:34;Aparcamiento:105;173;
92289;1595954494;2020-07-28T16:41:34;Aparcamiento:105;171;
92290;1595954914;2020-07-28T16:48:34;Aparcamiento:105;170;
92291;1595955094;2020-07-28T16:51:34;Aparcamiento:105;171;
92292;1595955394;2020-07-28T16:56:34;Aparcamiento:105;170;
92293;1595955754;2020-07-28T17:02:34;Aparcamiento:105;171;
92294;1595955933;2020-07-28T17:05:33;Aparcamiento:105;170;
92295;1595955993;2020-07-28T17:06:33;Aparcamiento:105;171;
92296;1595956294;2020-07-28T17:11:34;Aparcamiento:105;172;
92297;1595956654;2020-07-28T17:17:34;Aparcamiento:105;170;
92298;1595956894;2020-07-28T17:21:34;Aparcamiento:105;171;
92299;1595957193;2020-07-28T17:26:33;Aparcamiento:105;172;
92300;1595957253;2020-07-28T17:27:33;Aparcamiento:105;171;
92301;1595957433;2020-07-28T17:30:33;Aparcamiento:105;169;
92302;1595957554;2020-07-28T17:32:34;Aparcamiento:105;168;
92303;1595957973;2020-07-28T17:39:33;Aparcamiento:105;169;
92304;1595958154;2020-07-28T17:42:34;Aparcamiento:105;170;
92305;1595958274;2020-07-28T17:44:34;Aparcamiento:105;171;
92306;1595958693;2020-07-28T17:51:33;Aparcamiento:105;172;
92307;1595959174;2020-07-28T17:59:34;Aparcamiento:105;171;
92308;1595959354;2020-07-28T18:02:34;Aparcamiento:105;170;
92309;1595959414;2020-07-28T18:03:34;Aparcamiento:105;171;
92310;1595959714;2020-07-28T18:08:34;Aparcamiento:105;170;
92311;1595959954;2020-07-28T18:12:34;Aparcamiento:105;171;
92312;1595960254;2020-07-28T18:17:34;Aparcamiento:105;172;
92313;1595960433;2020-07-28T18:20:33;Aparcamiento:105;174;
92314;1595960974;2020-07-28T18:29:34;Aparcamiento:105;175;
92315;1595962054;2020-07-28T18:47:34;Aparcamiento:105;176;
92316;1595962113;2020-07-28T18:48:33;Aparcamiento:105;175;
92317;1595962474;2020-07-28T18:54:34;Aparcamiento:105;176;
92318;1595962653;2020-07-28T18:57:33;Aparcamiento:105;175;
92319;1595963134;2020-07-28T19:05:34;Aparcamiento:105;176;
92320;1595963194;2020-07-28T19:06:34;Aparcamiento:105;177;
92321;1595964094;2020-07-28T19:21:34;Aparcamiento:105;178;
92322;1595964994;2020-07-28T19:36:34;Aparcamiento:105;179;
92323;1595965714;2020-07-28T19:48:34;Aparcamiento:105;180;
92324;1595966014;2020-07-28T19:53:34;Aparcamiento:105;181;
92325;1595966794;2020-07-28T20:06:34;Aparcamiento:105;182;
92326;1595967333;2020-07-28T20:15:33;Aparcamiento:105;183;
92327;1595967874;2020-07-28T20:24:34;Aparcamiento:105;212;
92328;1595969134;2020-07-28T20:45:34;Aparcamiento:105;211;
92329;1595970034;2020-07-28T21:00:34;Aparcamiento:105;212;
92330;1595970214;2020-07-28T21:03:34;Aparcamiento:105;211;
92331;1595975254;2020-07-28T22:27:34;Aparcamiento:105;210;
92332;1595978073;2020-07-28T23:14:33;Aparcamiento:105;211;
92333;1595978494;2020-07-28T23:21:34;Aparcamiento:105;212;
92334;1595978793;2020-07-28T23:26:33;Aparcamiento:105;211;
92335;1595979394;2020-07-28T23:36:34;Aparcamiento:105;212;
92336;1595981133;2020-07-29T00:05:33;Aparcamiento:105;213;
92337;1595985453;2020-07-29T01:17:33;Aparcamiento:105;214;
92338;1595987314;2020-07-29T01:48:34;Aparcamiento:105;215;
92339;1595995594;2020-07-29T04:06:34;Aparcamiento:105;214;
92340;1595998473;2020-07-29T04:54:33;Aparcamiento:105;213;
92341;1595999194;2020-07-29T05:06:34;Aparcamiento:105;212;
92342;1595999914;2020-07-29T05:18:34;Aparcamiento:105;211;
92343;1596001533;2020-07-29T05:45:33;Aparcamiento:105;209;
92344;1596001893;2020-07-29T05:51:33;Aparcamiento:105;208;
92345;1596002194;2020-07-29T05:56:34;Aparcamiento:105;207;
92346;1596002253;2020-07-29T05:57:33;Aparcamiento:105;206;
92347;1596002373;2020-07-29T05:59:33;Aparcamiento:105;204;
92348;1596002433;2020-07-29T06:00:33;Aparcamiento:105;203;
92349;1596002613;2020-07-29T06:03:33;Aparcamiento:105;202;
92350;1596002793;2020-07-29T06:06:33;Aparcamiento:105;200;
92351;1596002913;2020-07-29T06:08:33;Aparcamiento:105;199;
92352;1596003274;2020-07-29T06:14:34;Aparcamiento:105;200;
92353;1596003334;2020-07-29T06:15:34;Aparcamiento:105;199;
92354;1596003453;2020-07-29T06:17:33;Aparcamiento:105;197;
92355;1596003513;2020-07-29T06:18:33;Aparcamiento:105;196;
92356;1596003693;2020-07-29T06:21:33;Aparcamiento:105;197;
92357;1596003873;2020-07-29T06:24:33;Aparcamiento:105;194;
92358;1596004053;2020-07-29T06:27:33;Aparcamiento:105;193;
92359;1596004353;2020-07-29T06:32:33;Aparcamiento:105;192;
92360;1596004413;2020-07-29T06:33:33;Aparcamiento:105;191;
92361;1596004533;2020-07-29T06:35:33;Aparcamiento:105;190;
92362;1596004594;2020-07-29T06:36:34;Aparcamiento:105;189;
92363;1596004893;2020-07-29T06:41:33;Aparcamiento:105;190;
92364;1596004954;2020-07-29T06:42:34;Aparcamiento:105;189;
92365;1596005134;2020-07-29T06:45:34;Aparcamiento:105;188;
92366;1596005253;2020-07-29T06:47:33;Aparcamiento:105;187;
92367;1596005613;2020-07-29T06:53:33;Aparcamiento:105;188;
92368;1596005673;2020-07-29T06:54:33;Aparcamiento:105;187;
92369;1596006034;2020-07-29T07:00:34;Aparcamiento:105;183;
92370;1596006213;2020-07-29T07:03:33;Aparcamiento:105;179;
92371;1596006514;2020-07-29T07:08:34;Aparcamiento:105;176;
92372;1596006694;2020-07-29T07:11:34;Aparcamiento:105;177;
92373;1596006754;2020-07-29T07:12:34;Aparcamiento:105;176;
92374;1596006934;2020-07-29T07:15:34;Aparcamiento:105;175;
92375;1596007114;2020-07-29T07:18:34;Aparcamiento:105;174;
92376;1596007247;2020-07-29T07:20:47;Aparcamiento:105;175;
92377;1596007294;2020-07-29T07:21:34;Aparcamiento:105;177;
92378;1596007414;2020-07-29T07:23:34;Aparcamiento:105;175;
92379;1596007474;2020-07-29T07:24:34;Aparcamiento:105;173;
92380;1596007594;2020-07-29T07:26:34;Aparcamiento:105;171;
92381;1596007653;2020-07-29T07:27:33;Aparcamiento:105;170;
92382;1596007774;2020-07-29T07:29:34;Aparcamiento:105;171;
92383;1596007833;2020-07-29T07:30:33;Aparcamiento:105;166;
92384;1596008013;2020-07-29T07:33:33;Aparcamiento:105;163;
92385;1596008194;2020-07-29T07:36:34;Aparcamiento:105;162;
92386;1596008374;2020-07-29T07:39:34;Aparcamiento:105;161;
92387;1596008556;2020-07-29T07:42:36;Aparcamiento:105;160;
92388;1596008673;2020-07-29T07:44:33;Aparcamiento:105;159;
92389;1596008734;2020-07-29T07:45:34;Aparcamiento:105;158;
92390;1596008855;2020-07-29T07:47:35;Aparcamiento:105;156;
92391;1596008914;2020-07-29T07:48:34;Aparcamiento:105;155;
92392;1596009214;2020-07-29T07:53:34;Aparcamiento:105;154;
92393;1596009274;2020-07-29T07:54:34;Aparcamiento:105;150;
92394;1596009454;2020-07-29T07:57:34;Aparcamiento:105;148;
92395;1596009573;2020-07-29T07:59:33;Aparcamiento:105;146;
92396;1596009633;2020-07-29T08:00:33;Aparcamiento:105;147;
92397;1596009814;2020-07-29T08:03:34;Aparcamiento:105;146;
92398;1596010353;2020-07-29T08:12:33;Aparcamiento:105;145;
92399;1596010534;2020-07-29T08:15:34;Aparcamiento:105;147;
92400;1596010654;2020-07-29T08:17:34;Aparcamiento:105;144;
92401;1596010714;2020-07-29T08:18:34;Aparcamiento:105;145;
92402;1596010893;2020-07-29T08:21:33;Aparcamiento:105;141;
92403;1596011073;2020-07-29T08:24:33;Aparcamiento:105;140;
92404;1596011193;2020-07-29T08:26:33;Aparcamiento:105;141;
92405;1596011254;2020-07-29T08:27:34;Aparcamiento:105;144;
92406;1596011434;2020-07-29T08:30:34;Aparcamiento:105;141;
92407;1596011554;2020-07-29T08:32:34;Aparcamiento:105;142;
92408;1596011617;2020-07-29T08:33:37;Aparcamiento:105;139;
92409;1596011734;2020-07-29T08:35:34;Aparcamiento:105;140;
92410;1596011793;2020-07-29T08:36:33;Aparcamiento:105;143;
92411;1596011973;2020-07-29T08:39:33;Aparcamiento:105;142;
92412;1596012153;2020-07-29T08:42:33;Aparcamiento:105;141;
92413;1596012273;2020-07-29T08:44:33;Aparcamiento:105;143;
92414;1596012333;2020-07-29T08:45:33;Aparcamiento:105;144;
92415;1596012454;2020-07-29T08:47:34;Aparcamiento:105;145;
92416;1596012514;2020-07-29T08:48:34;Aparcamiento:105;146;
92417;1596012634;2020-07-29T08:50:34;Aparcamiento:105;143;
92418;1596012693;2020-07-29T08:51:33;Aparcamiento:105;142;
92419;1596012814;2020-07-29T08:53:34;Aparcamiento:105;143;
92420;1596012873;2020-07-29T08:54:33;Aparcamiento:105;141;
92421;1596012994;2020-07-29T08:56:34;Aparcamiento:105;140;
92422;1596013054;2020-07-29T08:57:34;Aparcamiento:105;139;
92423;1596013354;2020-07-29T09:02:34;Aparcamiento:105;140;
92424;1596013414;2020-07-29T09:03:34;Aparcamiento:105;139;
92425;1596013534;2020-07-29T09:05:34;Aparcamiento:105;140;
92426;1596013774;2020-07-29T09:09:34;Aparcamiento:105;143;
92427;1596013894;2020-07-29T09:11:34;Aparcamiento:105;141;
92428;1596013954;2020-07-29T09:12:34;Aparcamiento:105;140;
92429;1596014134;2020-07-29T09:15:34;Aparcamiento:105;143;
92430;1596014314;2020-07-29T09:18:34;Aparcamiento:105;144;
92431;1596014433;2020-07-29T09:20:33;Aparcamiento:105;146;
92432;1596014493;2020-07-29T09:21:33;Aparcamiento:105;147;
92433;1596014613;2020-07-29T09:23:33;Aparcamiento:105;146;
92434;1596014673;2020-07-29T09:24:33;Aparcamiento:105;147;
92435;1596014793;2020-07-29T09:26:33;Aparcamiento:105;146;
92436;1596014974;2020-07-29T09:29:34;Aparcamiento:105;145;
92437;1596015154;2020-07-29T09:32:34;Aparcamiento:105;143;
92438;1596015214;2020-07-29T09:33:34;Aparcamiento:105;142;
92439;1596015334;2020-07-29T09:35:34;Aparcamiento:105;141;
92440;1596015394;2020-07-29T09:36:34;Aparcamiento:105;143;
92441;1596015513;2020-07-29T09:38:33;Aparcamiento:105;144;
