,fecha,periodo,viajes,timestamp
121,20200707,10,17.584,2020-07-07 10:00:00
122,20200707,11,8.754,2020-07-07 11:00:00
123,20200707,12,22.982999999999997,2020-07-07 12:00:00
124,20200707,13,14.913,2020-07-07 13:00:00
125,20200707,14,25.928,2020-07-07 14:00:00
126,20200707,15,23.437,2020-07-07 15:00:00
127,20200707,16,25.856,2020-07-07 16:00:00
128,20200707,17,13.136,2020-07-07 17:00:00
129,20200707,18,39.263,2020-07-07 18:00:00
130,20200707,19,21.967,2020-07-07 19:00:00
131,20200707,20,6.564,2020-07-07 20:00:00
132,20200707,21,5.439,2020-07-07 21:00:00
133,20200707,22,7.485,2020-07-07 22:00:00
134,20200708,03,12.552,2020-07-08 03:00:00
135,20200708,04,23.4,2020-07-08 04:00:00
136,20200708,05,35.128,2020-07-08 05:00:00
137,20200708,06,46.782,2020-07-08 06:00:00
138,20200708,07,88.737,2020-07-08 07:00:00
139,20200708,08,72.579,2020-07-08 08:00:00
140,20200708,09,31.790999999999997,2020-07-08 09:00:00
141,20200708,10,20.406999999999996,2020-07-08 10:00:00
142,20200708,11,11.091999999999999,2020-07-08 11:00:00
143,20200708,12,27.153,2020-07-08 12:00:00
144,20200708,13,15.105999999999998,2020-07-08 13:00:00
145,20200708,14,6.1339999999999995,2020-07-08 14:00:00
146,20200708,16,29.174,2020-07-08 16:00:00
147,20200708,17,24.040999999999997,2020-07-08 17:00:00
148,20200708,18,5.4239999999999995,2020-07-08 18:00:00
149,20200708,19,16.912999999999997,2020-07-08 19:00:00
150,20200708,20,21.918,2020-07-08 20:00:00
151,20200709,01,5.412000000000001,2020-07-09 01:00:00
152,20200709,05,22.256999999999998,2020-07-09 05:00:00
153,20200709,06,51.022999999999996,2020-07-09 06:00:00
154,20200709,07,105.57200000000002,2020-07-09 07:00:00
155,20200709,08,73.608,2020-07-09 08:00:00
156,20200709,09,41.913,2020-07-09 09:00:00
157,20200709,10,12.596,2020-07-09 10:00:00
158,20200709,11,19.867,2020-07-09 11:00:00
159,20200709,12,4.641,2020-07-09 12:00:00
160,20200709,13,17.597,2020-07-09 13:00:00
161,20200709,14,12.898,2020-07-09 14:00:00
162,20200709,15,5.313,2020-07-09 15:00:00
163,20200709,16,9.6,2020-07-09 16:00:00
164,20200709,17,19.813000000000002,2020-07-09 17:00:00
165,20200709,18,15.343,2020-07-09 18:00:00
166,20200709,19,13.076,2020-07-09 19:00:00
167,20200709,20,9.066,2020-07-09 20:00:00
168,20200709,23,4.287,2020-07-09 23:00:00
169,20200710,00,11.210999999999999,2020-07-10 00:00:00
170,20200710,02,5.975,2020-07-10 02:00:00
171,20200710,03,4.293,2020-07-10 03:00:00
172,20200710,04,8.025,2020-07-10 04:00:00
173,20200710,05,21.511000000000003,2020-07-10 05:00:00
174,20200710,06,38.266999999999996,2020-07-10 06:00:00
175,20200710,07,89.91199999999999,2020-07-10 07:00:00
176,20200710,08,44.617000000000004,2020-07-10 08:00:00
177,20200710,09,5.377999999999999,2020-07-10 09:00:00
178,20200710,10,13.562999999999999,2020-07-10 10:00:00
179,20200710,11,22.078000000000003,2020-07-10 11:00:00
180,20200710,12,28.206,2020-07-10 12:00:00
181,20200710,13,11.599,2020-07-10 13:00:00
182,20200710,14,13.36,2020-07-10 14:00:00
183,20200710,15,27.179,2020-07-10 15:00:00
184,20200710,19,7.797999999999999,2020-07-10 19:00:00
185,20200710,20,20.951999999999998,2020-07-10 20:00:00
186,20200710,21,16.826999999999998,2020-07-10 21:00:00
187,20200710,22,12.091,2020-07-10 22:00:00
188,20200710,23,6.2829999999999995,2020-07-10 23:00:00
189,20200711,06,17.113,2020-07-11 06:00:00
190,20200711,08,15.434,2020-07-11 08:00:00
191,20200711,09,14.430000000000001,2020-07-11 09:00:00
192,20200711,12,5.492999999999999,2020-07-11 12:00:00
193,20200711,13,14.434,2020-07-11 13:00:00
194,20200711,14,25.206,2020-07-11 14:00:00
195,20200711,17,40.27,2020-07-11 17:00:00
196,20200711,18,13.563,2020-07-11 18:00:00
197,20200711,19,20.041,2020-07-11 19:00:00
198,20200711,20,17.979,2020-07-11 20:00:00
199,20200711,21,11.643,2020-07-11 21:00:00
200,20200712,00,6.316,2020-07-12 00:00:00
201,20200712,09,8.18,2020-07-12 09:00:00
202,20200712,10,8.18,2020-07-12 10:00:00
203,20200712,11,8.18,2020-07-12 11:00:00
