,n_viajes_old,n_viajes
2020-09-15 00:00:00,,
2020-09-15 01:00:00,6.47,6.47
2020-09-15 02:00:00,,7.759499999999999
2020-09-15 03:00:00,9.049,9.049
2020-09-15 04:00:00,,7.632333333333333
2020-09-15 05:00:00,,6.2156666666666665
2020-09-15 06:00:00,4.799,4.799
2020-09-15 07:00:00,6.47,6.47
2020-09-15 08:00:00,11.45,11.45
2020-09-15 09:00:00,19.034000000000002,19.034000000000002
2020-09-15 10:00:00,6.662000000000001,6.662000000000001
2020-09-15 11:00:00,,8.017000000000001
2020-09-15 12:00:00,,9.372
2020-09-15 13:00:00,10.727,10.727
2020-09-15 14:00:00,,10.907666666666666
2020-09-15 15:00:00,,11.088333333333333
2020-09-15 16:00:00,11.268999999999998,11.268999999999998
2020-09-15 17:00:00,,11.343666666666666
2020-09-15 18:00:00,,11.418333333333333
2020-09-15 19:00:00,11.493,11.493
2020-09-15 20:00:00,,9.7335
2020-09-15 21:00:00,7.974,7.974
2020-09-15 22:00:00,19.072000000000006,19.072000000000006
2020-09-15 23:00:00,,16.875333333333337
2020-09-16 00:00:00,,14.678666666666668
2020-09-16 01:00:00,12.482,12.482
2020-09-16 02:00:00,,9.942499999999999
2020-09-16 03:00:00,7.403,7.403
2020-09-16 04:00:00,15.569,15.569
2020-09-16 05:00:00,24.839,24.839
2020-09-16 06:00:00,76.846,76.846
2020-09-16 07:00:00,137.054,137.054
2020-09-16 08:00:00,112.238,112.238
2020-09-16 09:00:00,29.198,29.198
2020-09-16 10:00:00,30.674,30.674
2020-09-16 11:00:00,13.644,13.644
2020-09-16 12:00:00,7.403,7.403
2020-09-16 13:00:00,53.545,53.545
2020-09-16 14:00:00,13.895,13.895
2020-09-16 15:00:00,41.199,41.199
2020-09-16 16:00:00,40.178000000000004,40.178000000000004
2020-09-16 17:00:00,16.021,16.021
2020-09-16 18:00:00,15.86,15.86
2020-09-16 19:00:00,17.91,17.91
2020-09-16 20:00:00,19.637,19.637
2020-09-16 21:00:00,19.356,19.356
2020-09-16 22:00:00,6.05,6.05
2020-09-16 23:00:00,6.2410000000000005,6.2410000000000005
2020-09-17 00:00:00,6.097,6.097
2020-09-17 01:00:00,,6.004333333333333
2020-09-17 02:00:00,,5.911666666666667
2020-09-17 03:00:00,5.819,5.819
2020-09-17 04:00:00,6.097,6.097
2020-09-17 05:00:00,20.45,20.45
2020-09-17 06:00:00,66.50099999999999,66.50099999999999
2020-09-17 07:00:00,125.404,125.404
2020-09-17 08:00:00,150.625,150.625
2020-09-17 09:00:00,59.467,59.467
2020-09-17 10:00:00,15.343,15.343
2020-09-17 11:00:00,6.386,6.386
2020-09-17 12:00:00,11.061,11.061
2020-09-17 13:00:00,6.8889999999999985,6.8889999999999985
2020-09-17 14:00:00,36.468,36.468
2020-09-17 15:00:00,53.28000000000001,53.28000000000001
2020-09-17 16:00:00,28.975,28.975
2020-09-17 17:00:00,21.399,21.399
2020-09-17 18:00:00,36.617,36.617
2020-09-17 19:00:00,13.377,13.377
2020-09-17 20:00:00,,9.0
2020-09-17 21:00:00,4.623,4.623
2020-09-17 22:00:00,14.577000000000002,14.577000000000002
2020-09-17 23:00:00,,14.036666666666667
2020-09-18 00:00:00,,13.496333333333334
2020-09-18 01:00:00,12.956,12.956
2020-09-18 02:00:00,14.970999999999998,14.970999999999998
2020-09-18 03:00:00,5.829,5.829
2020-09-18 04:00:00,12.412,12.412
2020-09-18 05:00:00,30.798,30.798
2020-09-18 06:00:00,72.01,72.01
2020-09-18 07:00:00,158.031,158.031
2020-09-18 08:00:00,125.164,125.164
2020-09-18 09:00:00,80.976,80.976
2020-09-18 10:00:00,23.129999999999995,23.129999999999995
2020-09-18 11:00:00,17.087,17.087
2020-09-18 12:00:00,9.736,9.736
2020-09-18 13:00:00,20.329,20.329
2020-09-18 14:00:00,17.088,17.088
2020-09-18 15:00:00,55.931999999999995,55.931999999999995
2020-09-18 16:00:00,25.096,25.096
2020-09-18 17:00:00,12.035,12.035
2020-09-18 18:00:00,6.206,6.206
2020-09-18 19:00:00,36.21,36.21
2020-09-18 20:00:00,12.745,12.745
2020-09-18 21:00:00,,12.39
2020-09-18 22:00:00,12.035,12.035
2020-09-18 23:00:00,4.676,4.676
2020-09-19 00:00:00,6.622000000000001,6.622000000000001
2020-09-19 01:00:00,,11.182000000000002
2020-09-19 02:00:00,15.742,15.742
2020-09-19 03:00:00,,12.594
2020-09-19 04:00:00,,9.445999999999998
2020-09-19 05:00:00,6.297999999999999,6.297999999999999
2020-09-19 06:00:00,,6.297999999999999
2020-09-19 07:00:00,6.297999999999999,6.297999999999999
2020-09-19 08:00:00,13.745,13.745
2020-09-19 09:00:00,42.29,42.29
2020-09-19 10:00:00,17.035,17.035
2020-09-19 11:00:00,12.92,12.92
2020-09-19 12:00:00,4.692,4.692
2020-09-19 13:00:00,27.504,27.504
2020-09-19 14:00:00,6.297999999999999,6.297999999999999
2020-09-19 15:00:00,,5.875
2020-09-19 16:00:00,5.452000000000001,5.452000000000001
2020-09-19 17:00:00,15.127,15.127
2020-09-19 18:00:00,13.773,13.773
2020-09-19 19:00:00,10.413,10.413
2020-09-19 20:00:00,18.549,18.549
2020-09-19 21:00:00,,12.135
2020-09-19 22:00:00,5.721,5.721
2020-09-19 23:00:00,,6.480888888888889
2020-09-20 00:00:00,,7.240777777777778
2020-09-20 01:00:00,,8.000666666666667
2020-09-20 02:00:00,,8.760555555555555
2020-09-20 03:00:00,,9.520444444444445
2020-09-20 04:00:00,,10.280333333333335
2020-09-20 05:00:00,,11.040222222222223
2020-09-20 06:00:00,,11.80011111111111
