,n_viajes
2020-09-15 00:00:00,
2020-09-15 01:00:00,6.47
2020-09-15 02:00:00,5.94
2020-09-15 03:00:00,7.905
2020-09-15 04:00:00,11.268999999999998
2020-09-15 05:00:00,5.94
2020-09-15 06:00:00,24.220000000000002
2020-09-15 07:00:00,28.574
2020-09-15 08:00:00,25.42
2020-09-15 09:00:00,18.269
2020-09-15 10:00:00,
2020-09-15 11:00:00,
2020-09-15 12:00:00,22.899
2020-09-15 13:00:00,13.042000000000002
2020-09-15 14:00:00,11.88
2020-09-15 15:00:00,4.7989999999999995
2020-09-15 16:00:00,
2020-09-15 17:00:00,
2020-09-15 18:00:00,15.739999999999998
2020-09-15 19:00:00,12.602
2020-09-15 20:00:00,38.208
2020-09-15 21:00:00,13.54
2020-09-15 22:00:00,
2020-09-15 23:00:00,12.632000000000001
2020-09-16 00:00:00,6.05
2020-09-16 01:00:00,6.05
2020-09-16 02:00:00,7.403
2020-09-16 03:00:00,
2020-09-16 04:00:00,30.764
2020-09-16 05:00:00,18.944
2020-09-16 06:00:00,49.287000000000006
2020-09-16 07:00:00,101.357
2020-09-16 08:00:00,128.591
2020-09-16 09:00:00,38.876000000000005
2020-09-16 10:00:00,13.306
2020-09-16 11:00:00,8.862
2020-09-16 12:00:00,4.684
2020-09-16 13:00:00,11.318
2020-09-16 14:00:00,34.559000000000005
2020-09-16 15:00:00,12.482000000000001
2020-09-16 16:00:00,42.295
2020-09-16 17:00:00,11.854
2020-09-16 18:00:00,7.403
2020-09-16 19:00:00,13.145
2020-09-16 20:00:00,17.082
2020-09-16 21:00:00,18.753
2020-09-16 22:00:00,
2020-09-16 23:00:00,6.05
2020-09-17 00:00:00,
2020-09-17 01:00:00,
2020-09-17 02:00:00,11.974
2020-09-17 03:00:00,
2020-09-17 04:00:00,24.132
2020-09-17 05:00:00,38.270999999999994
2020-09-17 06:00:00,59.76400000000001
2020-09-17 07:00:00,163.60299999999998
2020-09-17 08:00:00,89.34299999999999
2020-09-17 09:00:00,36.026999999999994
2020-09-17 10:00:00,21.115000000000002
2020-09-17 11:00:00,5.641
2020-09-17 12:00:00,19.752
2020-09-17 13:00:00,6.097
2020-09-17 14:00:00,46.64000000000001
2020-09-17 15:00:00,49.236
2020-09-17 16:00:00,48.370000000000005
2020-09-17 17:00:00,11.84
2020-09-17 18:00:00,6.097
2020-09-17 19:00:00,
2020-09-17 20:00:00,6.097
2020-09-17 21:00:00,6.097
2020-09-17 22:00:00,7.2170000000000005
2020-09-17 23:00:00,
2020-09-18 00:00:00,
2020-09-18 01:00:00,5.829
2020-09-18 02:00:00,12.789
2020-09-18 03:00:00,12.412
2020-09-18 04:00:00,14.376000000000001
2020-09-18 05:00:00,27.082
2020-09-18 06:00:00,56.424
2020-09-18 07:00:00,144.103
2020-09-18 08:00:00,73.80100000000002
2020-09-18 09:00:00,26.901
2020-09-18 10:00:00,20.375999999999998
2020-09-18 11:00:00,12.197
2020-09-18 12:00:00,12.745000000000001
2020-09-18 13:00:00,10.334
2020-09-18 14:00:00,29.937
2020-09-18 15:00:00,24.762999999999998
2020-09-18 16:00:00,27.237000000000002
2020-09-18 17:00:00,18.951
2020-09-18 18:00:00,16.54
2020-09-18 19:00:00,17.692999999999998
2020-09-18 20:00:00,5.829
2020-09-18 21:00:00,16.38
2020-09-18 22:00:00,7.297999999999999
2020-09-18 23:00:00,7.297999999999999
2020-09-19 00:00:00,
2020-09-19 01:00:00,
2020-09-19 02:00:00,6.297999999999999
2020-09-19 03:00:00,
2020-09-19 04:00:00,
2020-09-19 05:00:00,6.297999999999999
2020-09-19 06:00:00,5.952999999999999
2020-09-19 07:00:00,29.991
2020-09-19 08:00:00,17.74
2020-09-19 09:00:00,26.348
2020-09-19 10:00:00,10.989999999999998
2020-09-19 11:00:00,30.370999999999995
2020-09-19 12:00:00,27.933
2020-09-19 13:00:00,11.364999999999998
2020-09-19 14:00:00,4.692
2020-09-19 15:00:00,
2020-09-19 16:00:00,
2020-09-19 17:00:00,10.457
2020-09-19 18:00:00,4.692
2020-09-19 19:00:00,16.942999999999998
2020-09-19 20:00:00,7.475
2020-09-19 21:00:00,19.726
2020-09-19 22:00:00,
2020-09-19 23:00:00,
2020-09-20 00:00:00,6.527
2020-09-20 01:00:00,
2020-09-20 02:00:00,
2020-09-20 03:00:00,
2020-09-20 04:00:00,
2020-09-20 05:00:00,6.0329999999999995
2020-09-20 06:00:00,12.449000000000002
2020-09-20 07:00:00,
2020-09-20 08:00:00,
2020-09-20 09:00:00,7.813
2020-09-20 10:00:00,9.627
2020-09-20 11:00:00,13.850999999999999
2020-09-20 12:00:00,12.843
2020-09-20 13:00:00,10.862000000000002
2020-09-20 14:00:00,
2020-09-20 15:00:00,10.640999999999998
2020-09-20 16:00:00,
2020-09-20 17:00:00,20.373
2020-09-20 18:00:00,6.0329999999999995
2020-09-20 19:00:00,6.527
2020-09-20 20:00:00,24.169
2020-09-20 21:00:00,7.813
2020-09-20 22:00:00,7.813
2020-09-20 23:00:00,
2020-09-21 00:00:00,
2020-09-21 01:00:00,9.514
2020-09-21 02:00:00,
2020-09-21 03:00:00,6.3389999999999995
2020-09-21 04:00:00,16.053
2020-09-21 05:00:00,34.088
2020-09-21 06:00:00,18.660999999999998
2020-09-21 07:00:00,84.411
2020-09-21 08:00:00,106.975
2020-09-21 09:00:00,44.330999999999996
2020-09-21 10:00:00,
2020-09-21 11:00:00,
2020-09-21 12:00:00,17.343
2020-09-21 13:00:00,12.322
2020-09-21 14:00:00,24.511
2020-09-21 15:00:00,64.217
2020-09-21 16:00:00,25.501
2020-09-21 17:00:00,
2020-09-21 18:00:00,16.828
2020-09-21 19:00:00,
2020-09-21 20:00:00,5.983
2020-09-21 21:00:00,6.3389999999999995
2020-09-21 22:00:00,6.3389999999999995
2020-09-21 23:00:00,
2020-09-22 00:00:00,6.194
2020-09-22 01:00:00,
2020-09-22 02:00:00,7.2589999999999995
2020-09-22 03:00:00,5.822
2020-09-22 04:00:00,6.194
2020-09-22 05:00:00,31.758
2020-09-22 06:00:00,70.65
2020-09-22 07:00:00,99.04800000000002
2020-09-22 08:00:00,96.19399999999999
2020-09-22 09:00:00,47.349
2020-09-22 10:00:00,5.822
2020-09-22 11:00:00,22.0
2020-09-22 12:00:00,6.519
2020-09-22 13:00:00,19.821
2020-09-22 14:00:00,10.823
2020-09-22 15:00:00,65.146
2020-09-22 16:00:00,89.305
2020-09-22 17:00:00,24.341
2020-09-22 18:00:00,
