,n_viajes
2020-07-01 00:00:00,5.218999999999999
2020-07-01 01:00:00,5.218999999999999
2020-07-01 02:00:00,
2020-07-01 03:00:00,
2020-07-01 04:00:00,10.129
2020-07-01 05:00:00,25.694999999999997
2020-07-01 06:00:00,63.364000000000004
2020-07-01 07:00:00,219.80299999999997
2020-07-01 08:00:00,64.337
2020-07-01 09:00:00,70.356
2020-07-01 10:00:00,5.218999999999999
2020-07-01 11:00:00,9.225999999999999
2020-07-01 12:00:00,4.84
2020-07-01 13:00:00,11.979
2020-07-01 14:00:00,4.84
2020-07-01 15:00:00,46.11399999999999
2020-07-01 16:00:00,15.347999999999999
2020-07-01 17:00:00,14.969
2020-07-01 18:00:00,10.791999999999998
2020-07-01 19:00:00,12.020999999999999
2020-07-01 20:00:00,15.347999999999999
2020-07-01 21:00:00,17.685
2020-07-01 22:00:00,
2020-07-01 23:00:00,5.218999999999999
2020-07-02 00:00:00,5.414
2020-07-02 01:00:00,15.844999999999999
2020-07-02 02:00:00,
2020-07-02 03:00:00,10.392999999999999
2020-07-02 04:00:00,14.847000000000001
2020-07-02 05:00:00,34.065
2020-07-02 06:00:00,90.79100000000001
2020-07-02 07:00:00,146.321
2020-07-02 08:00:00,116.08700000000002
2020-07-02 09:00:00,80.24900000000001
2020-07-02 10:00:00,28.339999999999996
2020-07-02 11:00:00,15.036
2020-07-02 12:00:00,15.525000000000002
2020-07-02 13:00:00,14.030000000000001
2020-07-02 14:00:00,5.197
2020-07-02 15:00:00,31.660000000000004
2020-07-02 16:00:00,15.256
2020-07-02 17:00:00,14.512
2020-07-02 18:00:00,35.813
2020-07-02 19:00:00,26.763999999999996
2020-07-02 20:00:00,
2020-07-02 21:00:00,
2020-07-02 22:00:00,11.786999999999999
2020-07-02 23:00:00,
2020-07-03 00:00:00,5.2860000000000005
2020-07-03 01:00:00,
2020-07-03 02:00:00,
2020-07-03 03:00:00,6.542999999999999
2020-07-03 04:00:00,19.769
2020-07-03 05:00:00,28.808
2020-07-03 06:00:00,85.99000000000001
2020-07-03 07:00:00,153.23200000000003
2020-07-03 08:00:00,114.64499999999998
2020-07-03 09:00:00,37.306
2020-07-03 10:00:00,47.611
2020-07-03 11:00:00,18.948999999999998
2020-07-03 12:00:00,17.744
2020-07-03 13:00:00,
2020-07-03 14:00:00,24.702999999999996
2020-07-03 15:00:00,37.296
2020-07-03 16:00:00,31.226
2020-07-03 17:00:00,9.84
2020-07-03 18:00:00,21.624
2020-07-03 19:00:00,19.462
2020-07-03 20:00:00,10.325999999999999
