,n_viajes
2020-09-15 00:00:00,
2020-09-15 01:00:00,
2020-09-15 02:00:00,
2020-09-15 03:00:00,9.049
2020-09-15 04:00:00,
2020-09-15 05:00:00,
2020-09-15 06:00:00,
2020-09-15 07:00:00,11.786999999999999
2020-09-15 08:00:00,17.096
2020-09-15 09:00:00,11.268999999999998
2020-09-15 10:00:00,6.662000000000001
2020-09-15 11:00:00,7.917000000000001
2020-09-15 12:00:00,
2020-09-15 13:00:00,5.928
2020-09-15 14:00:00,13.464
2020-09-15 15:00:00,8.302
2020-09-15 16:00:00,17.474
2020-09-15 17:00:00,6.9879999999999995
2020-09-15 18:00:00,36.605
2020-09-15 19:00:00,24.553
2020-09-15 20:00:00,27.473999999999997
2020-09-15 21:00:00,16.624000000000002
2020-09-15 22:00:00,12.41
2020-09-15 23:00:00,
2020-09-16 00:00:00,
2020-09-16 01:00:00,6.2410000000000005
2020-09-16 02:00:00,
2020-09-16 03:00:00,
2020-09-16 04:00:00,13.128
2020-09-16 05:00:00,20.59
2020-09-16 06:00:00,77.78200000000001
2020-09-16 07:00:00,79.547
2020-09-16 08:00:00,70.95899999999999
2020-09-16 09:00:00,21.299999999999997
2020-09-16 10:00:00,22.879
2020-09-16 11:00:00,6.6610000000000005
2020-09-16 12:00:00,
2020-09-16 13:00:00,47.724000000000004
2020-09-16 14:00:00,
2020-09-16 15:00:00,38.41
2020-09-16 16:00:00,20.966
2020-09-16 17:00:00,16.115
2020-09-16 18:00:00,
2020-09-16 19:00:00,12.280000000000001
2020-09-16 20:00:00,
2020-09-16 21:00:00,25.808999999999997
2020-09-16 22:00:00,9.368
2020-09-16 23:00:00,
2020-09-17 00:00:00,6.56
2020-09-17 01:00:00,
2020-09-17 02:00:00,4.623
2020-09-17 03:00:00,5.819
2020-09-17 04:00:00,
2020-09-17 05:00:00,22.087
2020-09-17 06:00:00,46.473
2020-09-17 07:00:00,91.997
2020-09-17 08:00:00,87.96
2020-09-17 09:00:00,46.527
2020-09-17 10:00:00,34.013999999999996
2020-09-17 11:00:00,19.073
2020-09-17 12:00:00,6.56
2020-09-17 13:00:00,41.178999999999995
2020-09-17 14:00:00,33.912
2020-09-17 15:00:00,27.561
2020-09-17 16:00:00,17.106
2020-09-17 17:00:00,26.485000000000003
2020-09-17 18:00:00,11.009
2020-09-17 19:00:00,25.046000000000003
2020-09-17 20:00:00,
2020-09-17 21:00:00,
2020-09-17 22:00:00,
2020-09-17 23:00:00,
2020-09-18 00:00:00,
2020-09-18 01:00:00,
2020-09-18 02:00:00,14.971
2020-09-18 03:00:00,5.829
2020-09-18 04:00:00,30.608999999999998
2020-09-18 05:00:00,14.984000000000002
2020-09-18 06:00:00,35.247
2020-09-18 07:00:00,127.021
2020-09-18 08:00:00,67.50999999999999
2020-09-18 09:00:00,36.51
2020-09-18 10:00:00,31.676999999999996
2020-09-18 11:00:00,21.386000000000003
2020-09-18 12:00:00,9.736
2020-09-18 13:00:00,19.68
2020-09-18 14:00:00,
2020-09-18 15:00:00,21.756
2020-09-18 16:00:00,6.582999999999999
2020-09-18 17:00:00,
2020-09-18 18:00:00,6.539
2020-09-18 19:00:00,13.841000000000001
2020-09-18 20:00:00,
2020-09-18 21:00:00,
2020-09-18 22:00:00,5.829
2020-09-18 23:00:00,
2020-09-19 00:00:00,
2020-09-19 01:00:00,9.663
2020-09-19 02:00:00,9.12
2020-09-19 03:00:00,
2020-09-19 04:00:00,6.297999999999999
2020-09-19 05:00:00,5.952999999999999
2020-09-19 06:00:00,
2020-09-19 07:00:00,10.989999999999998
2020-09-19 08:00:00,7.122999999999999
2020-09-19 09:00:00,28.198999999999998
2020-09-19 10:00:00,
2020-09-19 11:00:00,
2020-09-19 12:00:00,
2020-09-19 13:00:00,7.13
2020-09-19 14:00:00,
2020-09-19 15:00:00,10.989999999999998
2020-09-19 16:00:00,15.519000000000002
2020-09-19 17:00:00,29.193
2020-09-19 18:00:00,
2020-09-19 19:00:00,11.314
2020-09-19 20:00:00,8.136000000000001
2020-09-19 21:00:00,17.424
2020-09-19 22:00:00,
2020-09-19 23:00:00,
2020-09-20 00:00:00,
2020-09-20 01:00:00,
2020-09-20 02:00:00,
2020-09-20 03:00:00,
2020-09-20 04:00:00,
2020-09-20 05:00:00,
2020-09-20 06:00:00,
2020-09-20 07:00:00,
2020-09-20 08:00:00,
2020-09-20 09:00:00,7.928
2020-09-20 10:00:00,
2020-09-20 11:00:00,7.041
2020-09-20 12:00:00,7.928
2020-09-20 13:00:00,6.915
2020-09-20 14:00:00,6.527
2020-09-20 15:00:00,16.069
2020-09-20 16:00:00,6.915
2020-09-20 17:00:00,7.928
2020-09-20 18:00:00,31.400999999999996
2020-09-20 19:00:00,16.805
2020-09-20 20:00:00,18.972
