,n_viajes
2020-07-01 00:00:00,
2020-07-01 01:00:00,5.5729999999999995
2020-07-01 02:00:00,4.91
2020-07-01 03:00:00,10.517
2020-07-01 04:00:00,15.094999999999999
2020-07-01 05:00:00,11.157
2020-07-01 06:00:00,44.822
2020-07-01 07:00:00,67.408
2020-07-01 08:00:00,105.17399999999999
2020-07-01 09:00:00,33.39
2020-07-01 10:00:00,14.136
2020-07-01 11:00:00,4.007
2020-07-01 12:00:00,10.437999999999999
2020-07-01 13:00:00,12.145
2020-07-01 14:00:00,29.759
2020-07-01 15:00:00,25.181
2020-07-01 16:00:00,42.487
2020-07-01 17:00:00,4.007
2020-07-01 18:00:00,14.444999999999999
2020-07-01 19:00:00,
2020-07-01 20:00:00,10.791999999999998
2020-07-01 21:00:00,4.91
2020-07-01 22:00:00,18.897
2020-07-01 23:00:00,5.218999999999999
2020-07-02 00:00:00,
2020-07-02 01:00:00,
2020-07-02 02:00:00,5.197
2020-07-02 03:00:00,12.839
2020-07-02 04:00:00,4.862
2020-07-02 05:00:00,21.788999999999998
2020-07-02 06:00:00,73.07000000000001
2020-07-02 07:00:00,114.55499999999999
2020-07-02 08:00:00,56.956
2020-07-02 09:00:00,44.980000000000004
2020-07-02 10:00:00,15.617
2020-07-02 11:00:00,19.125999999999998
2020-07-02 12:00:00,
2020-07-02 13:00:00,5.197
2020-07-02 14:00:00,16.368000000000002
2020-07-02 15:00:00,47.17100000000001
2020-07-02 16:00:00,27.159
2020-07-02 17:00:00,16.826999999999998
2020-07-02 18:00:00,
2020-07-02 19:00:00,5.414
2020-07-02 20:00:00,14.047
2020-07-02 21:00:00,
2020-07-02 22:00:00,4.788
2020-07-02 23:00:00,11.457
2020-07-03 00:00:00,5.459
2020-07-03 01:00:00,
2020-07-03 02:00:00,
2020-07-03 03:00:00,19.456
2020-07-03 04:00:00,
2020-07-03 05:00:00,15.735
2020-07-03 06:00:00,21.939999999999998
2020-07-03 07:00:00,118.505
2020-07-03 08:00:00,101.757
2020-07-03 09:00:00,54.16599999999999
2020-07-03 10:00:00,16.08
2020-07-03 11:00:00,5.676
2020-07-03 12:00:00,5.459
2020-07-03 13:00:00,5.459
2020-07-03 14:00:00,6.1
2020-07-03 15:00:00,10.488
2020-07-03 16:00:00,37.977
2020-07-03 17:00:00,27.616
2020-07-03 18:00:00,5.676
2020-07-03 19:00:00,16.423000000000002
2020-07-03 20:00:00,10.705
2020-07-03 21:00:00,5.459
2020-07-03 22:00:00,
2020-07-03 23:00:00,
2020-07-04 00:00:00,5.792999999999999
2020-07-04 01:00:00,6.606
2020-07-04 02:00:00,
2020-07-04 03:00:00,
2020-07-04 04:00:00,
2020-07-04 05:00:00,
2020-07-04 06:00:00,10.549000000000001
2020-07-04 07:00:00,24.752000000000002
2020-07-04 08:00:00,11.385
2020-07-04 09:00:00,49.577000000000005
2020-07-04 10:00:00,10.698
2020-07-04 11:00:00,22.252
2020-07-04 12:00:00,15.934000000000001
2020-07-04 13:00:00,17.566
2020-07-04 14:00:00,
2020-07-04 15:00:00,5.274
2020-07-04 16:00:00,
2020-07-04 17:00:00,5.792999999999999
2020-07-04 18:00:00,17.991
2020-07-04 19:00:00,5.5920000000000005
2020-07-04 20:00:00,11.878
2020-07-04 21:00:00,8.106
2020-07-04 22:00:00,
2020-07-04 23:00:00,
2020-07-05 00:00:00,11.206
2020-07-05 01:00:00,
2020-07-05 02:00:00,
2020-07-05 03:00:00,4.27
2020-07-05 04:00:00,4.27
2020-07-05 05:00:00,
2020-07-05 06:00:00,
2020-07-05 07:00:00,4.27
2020-07-05 08:00:00,5.881
2020-07-05 09:00:00,6.4110000000000005
2020-07-05 10:00:00,20.624
2020-07-05 11:00:00,5.781000000000001
2020-07-05 12:00:00,
2020-07-05 13:00:00,4.27
2020-07-05 14:00:00,10.923
2020-07-05 15:00:00,
2020-07-05 16:00:00,5.603
2020-07-05 17:00:00,6.2379999999999995
2020-07-05 18:00:00,5.881
2020-07-05 19:00:00,5.603
2020-07-05 20:00:00,
2020-07-05 21:00:00,
