,n_viajes
2020-07-01 00:00:00,
2020-07-01 01:00:00,7.185
2020-07-01 02:00:00,
2020-07-01 03:00:00,6.51
2020-07-01 04:00:00,5.0360000000000005
2020-07-01 05:00:00,11.157
2020-07-01 06:00:00,18.017
2020-07-01 07:00:00,49.477999999999994
2020-07-01 08:00:00,73.16
2020-07-01 09:00:00,14.498
2020-07-01 10:00:00,4.007
2020-07-01 11:00:00,23.157999999999998
2020-07-01 12:00:00,16.706
2020-07-01 13:00:00,21.296
2020-07-01 14:00:00,12.844999999999999
2020-07-01 15:00:00,13.138
2020-07-01 16:00:00,21.057
2020-07-01 17:00:00,4.007
2020-07-01 18:00:00,
2020-07-01 19:00:00,10.64
2020-07-01 20:00:00,12.985
2020-07-01 21:00:00,4.91
2020-07-01 22:00:00,8.838
2020-07-01 23:00:00,
2020-07-02 00:00:00,
2020-07-02 01:00:00,
2020-07-02 02:00:00,5.757999999999999
2020-07-02 03:00:00,
2020-07-02 04:00:00,
2020-07-02 05:00:00,23.101
2020-07-02 06:00:00,59.083
2020-07-02 07:00:00,29.028999999999996
2020-07-02 08:00:00,16.332
2020-07-02 09:00:00,32.019999999999996
2020-07-02 10:00:00,4.788
2020-07-02 11:00:00,9.724
2020-07-02 12:00:00,5.197
2020-07-02 13:00:00,4.788
2020-07-02 14:00:00,24.773
2020-07-02 15:00:00,18.479
2020-07-02 16:00:00,10.893
2020-07-02 17:00:00,13.267
2020-07-02 18:00:00,12.392999999999999
2020-07-02 19:00:00,11.964
2020-07-02 20:00:00,4.862
2020-07-02 21:00:00,7.976
2020-07-02 22:00:00,
2020-07-02 23:00:00,
2020-07-03 00:00:00,4.164
2020-07-03 01:00:00,
2020-07-03 02:00:00,4.164
2020-07-03 03:00:00,6.1
2020-07-03 04:00:00,6.542999999999999
2020-07-03 05:00:00,
2020-07-03 06:00:00,5.754
2020-07-03 07:00:00,66.01
2020-07-03 08:00:00,41.991
2020-07-03 09:00:00,37.49
2020-07-03 10:00:00,10.937999999999999
2020-07-03 11:00:00,16.672
2020-07-03 12:00:00,18.334
2020-07-03 13:00:00,15.516
2020-07-03 14:00:00,24.55
2020-07-03 15:00:00,11.643
2020-07-03 16:00:00,41.153999999999996
2020-07-03 17:00:00,
2020-07-03 18:00:00,10.266
2020-07-03 19:00:00,5.287999999999999
2020-07-03 20:00:00,5.86
2020-07-03 21:00:00,5.029
2020-07-03 22:00:00,
2020-07-03 23:00:00,
2020-07-04 00:00:00,
2020-07-04 01:00:00,
2020-07-04 02:00:00,
2020-07-04 03:00:00,
2020-07-04 04:00:00,
2020-07-04 05:00:00,3.069
2020-07-04 06:00:00,7.632999999999999
2020-07-04 07:00:00,8.949
2020-07-04 08:00:00,
2020-07-04 09:00:00,19.802999999999997
2020-07-04 10:00:00,6.1579999999999995
2020-07-04 11:00:00,18.995
2020-07-04 12:00:00,5.792999999999999
2020-07-04 13:00:00,6.181
2020-07-04 14:00:00,4.257
2020-07-04 15:00:00,
2020-07-04 16:00:00,
2020-07-04 17:00:00,8.849
2020-07-04 18:00:00,11.033
2020-07-04 19:00:00,10.049999999999999
2020-07-04 20:00:00,15.448
2020-07-04 21:00:00,17.584
2020-07-04 22:00:00,4.257
2020-07-04 23:00:00,
2020-07-05 00:00:00,13.982
2020-07-05 01:00:00,7.732
2020-07-05 02:00:00,4.27
2020-07-05 03:00:00,
2020-07-05 04:00:00,
2020-07-05 05:00:00,
2020-07-05 06:00:00,
2020-07-05 07:00:00,
2020-07-05 08:00:00,
2020-07-05 09:00:00,6.4110000000000005
2020-07-05 10:00:00,11.57
2020-07-05 11:00:00,5.781000000000001
2020-07-05 12:00:00,23.035999999999998
2020-07-05 13:00:00,20.617
2020-07-05 14:00:00,
2020-07-05 15:00:00,5.153
2020-07-05 16:00:00,16.747
2020-07-05 17:00:00,31.944
2020-07-05 18:00:00,10.697000000000001
2020-07-05 19:00:00,26.22
2020-07-05 20:00:00,9.873
2020-07-05 21:00:00,27.143
2020-07-05 22:00:00,7.732
2020-07-05 23:00:00,5.603
2020-07-06 00:00:00,5.287000000000001
2020-07-06 01:00:00,15.458000000000002
2020-07-06 02:00:00,
2020-07-06 03:00:00,6.22
2020-07-06 04:00:00,5.899
2020-07-06 05:00:00,6.274
2020-07-06 06:00:00,
2020-07-06 07:00:00,38.510000000000005
